city,ja,population,place,dist_km,segment,km_along,seg_from,seg_to,lat,lon
Tokyo,東京都,13613660,city,0.1,tokyo--kamakura#pacific,0.6,tokyo,kamakura,35.6769,139.7639
Yokohama,横浜市,3777491,city,0.3,tokyo--kamakura#pacific,36.0,tokyo,kamakura,35.4503,139.6344
Osaka,大阪市,2691185,city,0.1,wakayama--osaka#pacific,73.3,wakayama,osaka,34.6938,135.5015
Nagoya,名古屋市,2236000,city,2.2,toyohashi--nagoya#pacific,75.6,toyohashi,nagoya,35.1851,136.8998
Sapporo,札幌市,1973395,city,12.4,atsuta--otaru,42.9,atsuta,otaru,43.0619,141.3543
Kawasaki,川崎市,1538262,city,1.1,tokyo--kamakura#pacific,23.0,tokyo,kamakura,35.5307,139.7038
Kobe,神戸市,1537272,city,0.5,osaka--kobe,30.7,osaka,kobe,34.6932,135.1944
Kyoto,京都市,1475183,city,5.4,otsu--osaka,5.6,otsu,osaka,35.0116,135.7681
Hiroshima,広島市,1200754,city,0.6,hiroshima--iwakuni,2.3,hiroshima,iwakuni,34.3917,132.4518
Saitama,さいたま市,1182115,city,21.8,tsukuba--tokyo#pacific,43.6,tsukuba,tokyo,35.8616,139.6456
Sendai,仙台市,1094395,city,0.9,sendai--yamagata#crossover,1.9,sendai,yamagata,38.2678,140.8691
Setagaya,世田谷区,943664,city,6.9,tokyo--kamakura#pacific,9.7,tokyo,kamakura,35.6469,139.6525
Kitakyushu,北九州市,939029,city,2.4,moji--nakatsu,10.2,moji,nakatsu,33.883,130.8749
Sakai,堺市,839310,city,1.4,wakayama--osaka#pacific,59.3,wakayama,osaka,34.5737,135.4829
Niigata,新潟市,811639,city,0.6,niigata--nagaoka#highland,3.0,niigata,nagaoka,37.9164,139.0365
Hamamatsu,浜松市,797033,city,0.8,hamamatsu--toyohashi#pacific,1.2,hamamatsu,toyohashi,34.711,137.7259
Ota,大田区,748081,city,0.5,tokyo--kamakura#pacific,17.8,tokyo,kamakura,35.5612,139.7158
Nerima,練馬区,733150,city,11.7,tokyo--kamakura#pacific,0.8,tokyo,kamakura,35.7358,139.6521
Okayama,岡山市,719474,city,1.1,himeji--okayama,85.5,himeji,okayama,34.6554,133.9195
Shizuoka,静岡市,706287,city,0.4,numazu--shizuoka#pacific,55.1,numazu,shizuoka,34.9752,138.3832
Adachi,足立区,695043,city,4.9,tsukuba--tokyo#pacific,58.5,tsukuba,tokyo,35.7746,139.8045
Edogawa,江戸川区,691417,city,4.3,tsukuba--tokyo#pacific,57.5,tsukuba,tokyo,35.7066,139.8687
Funabashi,船橋市,633263,city,11.4,tsukuba--tokyo#pacific,53.7,tsukuba,tokyo,35.6946,139.9825
Kawaguchi,川口市,578112,city,12.6,tsukuba--tokyo#pacific,60.2,tsukuba,tokyo,35.8078,139.7241
Itabashi,板橋区,575432,city,8.8,tsukuba--tokyo#pacific,68.3,tsukuba,tokyo,35.7513,139.7088
Suginami,杉並区,540180,city,11.1,tokyo--kamakura#pacific,6.7,tokyo,kamakura,35.6995,139.6363
Himeji,姫路市,535571,city,1.1,himeji--okayama,0.6,himeji,okayama,34.8154,134.6855
Koto,江東区,524310,city,3.7,tsukuba--tokyo#pacific,64.0,tsukuba,tokyo,35.6728,139.817
Matsuyama,松山市,511192,city,0.2,matsuyama--uwajima#shikoku-south,0.0,matsuyama,uwajima,33.8395,132.7654
Higashiosaka,東大阪市,498099,city,7.0,otsu--osaka,51.8,otsu,osaka,34.6794,135.6009
Ichikawa,市川市,496676,city,6.0,tsukuba--tokyo#pacific,53.7,tsukuba,tokyo,35.7216,139.9321
Nishinomiya,西宮市,488398,city,0.4,osaka--kobe,16.3,osaka,kobe,34.7378,135.3413
Matsudo,松戸市,483480,city,1.4,tsukuba--tokyo#pacific,50.3,tsukuba,tokyo,35.7873,139.9049
Kurashiki,倉敷市,477118,city,7.6,okayama--fukuyama,21.0,okayama,fukuyama,34.5851,133.772
Oita,大分市,475614,city,1.2,beppu--usuki,12.9,beppu,usuki,33.2394,131.6097
Kanazawa,金沢市,465699,city,1.1,kanazawa--tojinbo,1.1,kanazawa,tojinbo,36.5616,136.6569
Fukuyama,福山市,460930,city,2.0,fukuyama--onomichi,0.0,fukuyama,onomichi,34.4857,133.3623
Amagasaki,尼崎市,459593,city,1.1,osaka--kobe,10.3,osaka,kobe,34.734,135.4064
Katsushika,葛飾区,451483,city,0.1,tsukuba--tokyo#pacific,57.9,tsukuba,tokyo,35.7434,139.8473
Fujisawa,藤沢市,436905,city,3.0,kamakura--odawara#pacific,9.1,kamakura,odawara,35.3389,139.4909
Machida,町田市,433720,city,19.2,tokyo--kamakura#pacific,32.5,tokyo,kamakura,35.5467,139.4387
Toyota,豊田市,425738,city,10.7,toyohashi--nagoya#pacific,42.2,toyohashi,nagoya,35.0835,137.1567
Shinagawa,品川区,422488,city,1.0,tokyo--kamakura#pacific,11.0,tokyo,kamakura,35.6092,139.7302
Kashiwa,柏市,422385,city,0.6,tsukuba--tokyo#pacific,32.4,tsukuba,tokyo,35.8676,139.9757
Toyama,富山市,421259,city,5.6,uozu--himi,22.2,uozu,himi,36.6958,137.2136
Hirakata,枚方市,402005,city,0.8,otsu--osaka,31.9,otsu,osaka,34.8144,135.6507
Miyazaki,宮崎市,401339,city,0.2,miyazaki--nichinan,0.0,miyazaki,nichinan,31.9076,131.4204
Toyonaka,豊中市,397490,city,7.6,otsu--osaka,48.2,otsu,osaka,34.7812,135.4699
Yokosuka,横須賀市,388078,city,11.6,tokyo--kamakura#pacific,57.3,tokyo,kamakura,35.2815,139.672
Okazaki,岡崎市,385221,city,0.5,toyohashi--nagoya#pacific,32.9,toyohashi,nagoya,34.9549,137.1728
Ichinomiya,一宮市,380672,city,16.3,nagoya--ise#pacific,7.7,nagoya,ise,35.3049,136.8069
Suita,吹田市,379246,city,3.5,otsu--osaka,47.1,otsu,osaka,34.7594,135.5168
Toyohashi,豊橋市,373811,city,1.2,toyohashi--nagoya#pacific,0.0,toyohashi,nagoya,34.7691,137.3915
Nagano,長野市,372760,city,0.3,yuzawa--nagano#highland,119.8,yuzawa,nagano,36.6486,138.1948
Nara,奈良市,364968,city,20.5,otsu--osaka,36.5,otsu,osaka,34.6845,135.8048
Wakayama,和歌山市,364154,city,0.5,wakayama--osaka#pacific,1.3,wakayama,osaka,34.2343,135.1784
Takatsuki,高槻市,353881,city,3.3,otsu--osaka,30.1,otsu,osaka,34.8465,135.6172
Kita,北区,349573,city,7.4,tsukuba--tokyo#pacific,67.0,tsukuba,tokyo,35.7529,139.7338
Shinjuku,新宿区,349385,city,5.4,tokyo--kamakura#pacific,1.6,tokyo,kamakura,35.6938,139.7036
Iwaki,いわき市,346442,city,0.5,iwaki--mito#pacific,1.2,iwaki,mito,37.0504,140.8876
Koshigaya,越谷市,342486,city,9.8,tsukuba--tokyo#pacific,40.4,tsukuba,tokyo,35.8913,139.7915
Otsu,大津市,340973,city,0.3,tsuruga--otsu#direct,88.7,tsuruga,otsu,35.0178,135.8548
Nakano,中野区,336639,city,9.4,tokyo--kamakura#pacific,1.8,tokyo,kamakura,35.7086,139.6629
Akita,秋田市,307672,city,0.9,noshiro--akita,58.8,noshiro,akita,39.7198,140.1035
Yokkaichi,四日市市,307220,city,0.9,nagoya--ise#pacific,46.7,nagoya,ise,34.9648,136.6248
Kasugai,春日井市,300099,city,11.8,toyohashi--nagoya#pacific,75.6,toyohashi,nagoya,35.2476,136.9722
Toshima,豊島区,298562,city,6.3,tsukuba--tokyo#pacific,68.3,tsukuba,tokyo,35.7259,139.7166
Akashi,明石市,295908,city,1.0,kobe--himeji,19.2,kobe,himeji,34.6483,134.9932
Meguro,目黒区,288088,city,3.0,tokyo--kamakura#pacific,9.3,tokyo,kamakura,35.6408,139.6985
Ibaraki,茨木市,287730,city,4.8,otsu--osaka,35.3,otsu,osaka,34.8161,135.5686
Nagaoka,長岡市,282829,city,0.1,nagaoka--yuzawa#highland,0.3,nagaoka,yuzawa,37.447,138.8512
Tsu,津市,279886,city,0.0,nagoya--ise#pacific,77.6,nagoya,ise,34.7342,136.5153
Aomori,青森市,275192,city,0.6,aomori--hachinohe#pacific,0.7,aomori,hachinohe,40.8223,140.7472
Sumida,墨田区,272085,city,0.5,tsukuba--tokyo#pacific,63.4,tsukuba,tokyo,35.7104,139.8017
Mito,水戸市,270775,city,0.5,mito--tsukuba#pacific,1.1,mito,tsukuba,36.3659,140.4732
Yao,八尾市,267581,city,9.2,wakayama--osaka#pacific,67.3,wakayama,osaka,34.6269,135.6009
Fukui,福井市,267428,city,0.8,tojinbo--fukui,22.2,tojinbo,fukui,36.0618,136.2261
Kakogawa,加古川市,265055,city,1.7,kobe--himeji,38.4,kobe,himeji,34.757,134.8412
Fuchu,府中市,261991,city,22.5,tokyo--kamakura#pacific,10.2,tokyo,kamakura,35.6694,139.4774
Hiratsuka,平塚市,258422,city,2.1,kamakura--odawara#pacific,20.7,kamakura,odawara,35.3351,139.3494
Shimonoseki,下関市,255051,city,0.1,hagi--shimonoseki#sanin,91.4,hagi,shimonoseki,33.9577,130.9415
